byte,symbol,code,frequency
100,d,00010,0.022598870056497165
101,e,010,0.10420590081607027
102,f,00011,0.022598870056497165
103,g,001110,0.0138104205900816
104,h,10000,0.03013182674199622
105,i,1001,0.06842435655994976
106,j,001111110,0.0018832391713747636
107,k,1111010100,0.0012554927809165092
108,l,00000,0.021343377275580656
109,m,111100,0.019460138104205892
110,n,1110,0.0747018204645323
111,o,1011,0.07030759573132452
112,p,00110,0.02573760200878844
113,q,1111011001,0.0012554927809165092
114,r,0111,0.06089139987445069
115,s,11111,0.04394224733207782
116,t,1010,0.07030759573132452
117,u,100010,0.014438166980539855
118,v,1000111,0.010043942247332073
119,w,001001,0.011927181418706837
120,x,111101000,0.0025109855618330183
121,y,00001,0.022598870056497165
122,z,1111010101,0.0012554927809165092
128,,100011011,0.0025109855618330183
148,,1111010011,0.0012554927809165092
152,,11110111010,0.0006277463904582546
153,,11110111011,0.0006277463904582546
176,°,0010000100,0.0006277463904582546
194,Â,0010000011,0.0006277463904582546
226,â,100011010,0.0025109855618330183
32, ,110,0.1550533584431889
40,(,001111111,0.0018832391713747636
41,),100011000,0.0018832391713747636
44,",",00111110,0.0037664783427495273
46,.,0011110,0.006277463904582546
47,/,0010000010,0.0006277463904582546
48,0,1111011000,0.0012554927809165092
49,1,1111011011,0.0012554927809165092
50,2,1111010111,0.0012554927809165092
51,3,0010000111,0.0006277463904582546
58,:,1111011010,0.0012554927809165092
59,;,11110111101,0.0006277463904582546
61,=,0010000110,0.0006277463904582546
65,A,1111010010,0.0012554927809165092
67,C,1111010110,0.0012554927809165092
69,E,11110111100,0.0006277463904582546
70,F,11110111110,0.0006277463904582546
71,G,11110111111,0.0006277463904582546
73,I,0010000000,0.0006277463904582546
74,J,0010000001,0.0006277463904582546
75,K,0010000101,0.0006277463904582546
79,O,11110111000,0.0006277463904582546
80,P,11110111001,0.0006277463904582546
84,T,100011001,0.0018832391713747636
97,a,0110,0.06026365348399244
98,b,0010001,0.005649717514124291
99,c,00101,0.023854362837413674
